Fish ID,Fish Name,Affected Structure or Process 1 superterm Name,Publication ID,Gene Symbol,tissue_system
ZDB-FISH-201027-2,eef1a2<sup>zf3071/zf3071</sup> (AB),muscle,ZDB-PUB-200118-22,eef1a2,Skeletal
ZDB-FISH-151014-15,AB + MO2-ercc6,DNA damage response,ZDB-PUB-150624-6,ercc6,Cell process
ZDB-FISH-151014-15,AB + MO2-ercc6,response to ionizing radiation,ZDB-PUB-150624-6,ercc6,Cell process
ZDB-FISH-151014-15,AB + MO2-ercc6,head,ZDB-PUB-150624-6,ercc6,Skeletal
ZDB-FISH-151014-15,AB + MO2-ercc6,trunk,ZDB-PUB-150624-6,ercc6,Skeletal
ZDB-FISH-151014-15,AB + MO2-ercc6,post-vent region,ZDB-PUB-150624-6,ercc6,Skeletal
ZDB-FISH-200825-8,WT + MO3-ercc6,whole organism,ZDB-PUB-190924-17,ercc6,Whole organism
ZDB-FISH-200825-8,WT + MO3-ercc6,postcranial axial skeleton,ZDB-PUB-190924-17,ercc6,Skeletal
ZDB-FISH-150901-5577,WT + MO1-fpr1,neutrophil activation involved in immune response,ZDB-PUB-120928-15,fpr1,Immune
ZDB-FISH-150901-20976,WT + MO1-gpr142al,lipid storage,ZDB-PUB-080902-18,gpr1,Cell process
ZDB-FISH-151007-4,sphk1<sup>ko811/ko811</sup>,heart morphogenesis,ZDB-PUB-150425-7,hk1,Circulatory
ZDB-FISH-151007-4,sphk1<sup>ko811/ko811</sup>,heart,ZDB-PUB-150425-7,hk1,Circulatory
ZDB-FISH-190925-3,WIK + MO1-sphk1,whole organism,ZDB-PUB-170805-4,hk1,Whole organism
ZDB-FISH-190925-4,y1Tg + MO1-sphk1,intersegmental vessel,ZDB-PUB-170805-4,hk1,Circulatory
ZDB-FISH-170915-1,WT + MO1-ift140,whole organism,ZDB-PUB-170721-10,ift140,Cell process
ZDB-FISH-170915-1,WT + MO1-ift140,gastrulation,ZDB-PUB-170721-10,ift140,Nervous
ZDB-FISH-170915-1,WT + MO1-ift140,notochord,ZDB-PUB-170721-10,ift140,Skeletal
ZDB-FISH-170915-1,WT + MO1-ift140,somite,ZDB-PUB-170721-10,ift140,Whole organism
ZDB-FISH-240830-1,mrc1a<sup>mu408/mu408</sup>; stab2<sup>ibl2/ibl2</sup>; nz101Tg/nz101Tg,optic tectum,ZDB-PUB-210907-11,mrc1a,Nervous
ZDB-FISH-240830-5,mrc1a<sup>mu408/mu408</sup>; stab2<sup>ibl2/ibl2</sup>; hu7135Tg/hu7135Tg,common cardinal vein,ZDB-PUB-210907-11,mrc1a,Circulatory
ZDB-FISH-200116-17,WT + CRISPR1-mrc1b,microglial cell,ZDB-PUB-190216-3,mrc1b,Nervous
ZDB-FISH-160908-10,TU + MO2-mybpc2b,skeletal muscle,ZDB-PUB-160330-7,mybpc2b,Skeletal
